Net recurrent income,$ Total,$ per student,year,school_id,school_name
Total net recurrent income,22369405,15887,2019,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2019,45360,"Braybrook College, Braybrook, VIC"
Income allocated to debt servicing,0,0,2019,45360,"Braybrook College, Braybrook, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,45360,"Braybrook College, Braybrook, VIC"
Income allocated to current capital projects,0,0,2019,45360,"Braybrook College, Braybrook, VIC"
Less deductions,0,0,2019,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2019,52698,"Prahran High School, Windsor, VIC"
Total gross income,22369405,15887,2019,45360,"Braybrook College, Braybrook, VIC"
"Fees, charges and parent contributions",760146,540,2019,45360,"Braybrook College, Braybrook, VIC"
State / territory government recurring funding,17091620,12139,2019,45360,"Braybrook College, Braybrook, VIC"
Australian government recurrent funding,4304016,3057,2019,45360,"Braybrook College, Braybrook, VIC"
Less deductions,0,0,2019,52698,"Prahran High School, Windsor, VIC"
Total gross income,3393087,34980,2019,52698,"Prahran High School, Windsor, VIC"
Total net recurrent income,5431225,10928,2019,44461,"Kensington Primary School, Kensington, VIC"
Subtotal,0,0,2019,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to debt servicing,0,0,2019,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,213623,152,2019,45360,"Braybrook College, Braybrook, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44461,"Kensington Primary School, Kensington, VIC"
Total net recurrent income,3393087,34980,2019,52698,"Prahran High School, Windsor, VIC"
Subtotal,0,0,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Other private sources,137825,223,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
"Fees, charges and parent contributions",623869,1011,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,6218392,10074,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
Australian government recurrent funding,1629100,2639,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to current capital projects,0,0,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to debt servicing,0,0,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
Subtotal,0,0,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
Total net recurrent income,7930585,16881,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total net recurrent income,8609187,13947,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,5706209,12146,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
"Fees, charges and parent contributions",685897,1460,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Other private sources,100700,214,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total gross income,7930585,16881,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Less deductions,0,0,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to current capital projects,0,0,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to debt servicing,0,0,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Australian government recurrent funding,1437780,3060,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to current capital projects,0,0,2019,44461,"Kensington Primary School, Kensington, VIC"
Less deductions,0,0,2019,44461,"Kensington Primary School, Kensington, VIC"
Total gross income,5431225,10928,2019,44461,"Kensington Primary School, Kensington, VIC"
State / territory government recurring funding,2299229,10949,2019,44919,"Altona North Primary School, Altona North, VIC"
"Fees, charges and parent contributions",72048,343,2019,44919,"Altona North Primary School, Altona North, VIC"
Other private sources,65269,311,2019,44919,"Altona North Primary School, Altona North, VIC"
Total gross income,3036085,14458,2019,44919,"Altona North Primary School, Altona North, VIC"
Less deductions,0,0,2019,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to current capital projects,0,0,2019,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to debt servicing,0,0,2019,44919,"Altona North Primary School, Altona North, VIC"
Less deductions,0,0,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
Subtotal,0,0,2019,44919,"Altona North Primary School, Altona North, VIC"
Australian government recurrent funding,604549,2151,2019,44634,"Spotswood Primary School, Spotswood, VIC"
State / territory government recurring funding,2280357,8115,2019,44634,"Spotswood Primary School, Spotswood, VIC"
"Fees, charges and parent contributions",179787,640,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Other private sources,137107,488,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Total gross income,3201801,11394,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Less deductions,0,0,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to current capital projects,0,0,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Total net recurrent income,3036085,14458,2019,44919,"Altona North Primary School, Altona North, VIC"
"Fees, charges and parent contributions",465431,709,2019,44693,"Kingsville Primary School, Yarraville, VIC"
State / territory government recurring funding,4472635,6818,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Australian government recurrent funding,1144132,1744,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Other private sources,234370,472,2019,44461,"Kensington Primary School, Kensington, VIC"
"Fees, charges and parent contributions",266681,537,2019,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,410190,4229,2019,52698,"Prahran High School, Windsor, VIC"
"Fees, charges and parent contributions",280785,2895,2019,52698,"Prahran High School, Windsor, VIC"
State / territory government recurring funding,2160960,22278,2019,52698,"Prahran High School, Windsor, VIC"
Australian government recurrent funding,541152,5579,2019,52698,"Prahran High School, Windsor, VIC"
State / territory government recurring funding,3903828,7855,2019,44461,"Kensington Primary School, Kensington, VIC"
Total net recurrent income,3512401,18783,2019,52703,"Richmond High School, Richmond, VIC"
Subtotal,0,0,2019,52703,"Richmond High School, Richmond, VIC"
Income allocated to debt servicing,0,0,2019,52703,"Richmond High School, Richmond, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,52703,"Richmond High School, Richmond, VIC"
Income allocated to current capital projects,0,0,2019,52703,"Richmond High School, Richmond, VIC"
Less deductions,0,0,2019,52703,"Richmond High School, Richmond, VIC"
Total gross income,3512401,18783,2019,52703,"Richmond High School, Richmond, VIC"
Australian government recurrent funding,1026346,2065,2019,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,146377,783,2019,52703,"Richmond High School, Richmond, VIC"
"Fees, charges and parent contributions",219837,1176,2019,52703,"Richmond High School, Richmond, VIC"
State / territory government recurring funding,2516100,13455,2019,52703,"Richmond High School, Richmond, VIC"
Australian government recurrent funding,630087,3369,2019,52703,"Richmond High School, Richmond, VIC"
Subtotal,0,0,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to current capital projects,0,0,2019,52698,"Prahran High School, Windsor, VIC"
Income allocated to debt servicing,0,0,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Total net recurrent income,4188561,10524,2019,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Subtotal,0,0,2019,44273,"Williamstown North Primary School, Williamstown, VIC"
Total net recurrent income,8427318,10561,2019,44273,"Williamstown North Primary School, Williamstown, VIC"
Australian government recurrent funding,981654,1815,2019,44225,"Williamstown Primary School, Williamstown, VIC"
State / territory government recurring funding,3834027,7087,2019,44225,"Williamstown Primary School, Williamstown, VIC"
"Fees, charges and parent contributions",303046,560,2019,44225,"Williamstown Primary School, Williamstown, VIC"
Other private sources,255419,472,2019,44225,"Williamstown Primary School, Williamstown, VIC"
Total gross income,5374146,9934,2019,44225,"Williamstown Primary School, Williamstown, VIC"
Less deductions,0,0,2019,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2019,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2019,44225,"Williamstown Primary School, Williamstown, VIC"
Subtotal,0,0,2019,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2019,44273,"Williamstown North Primary School, Williamstown, VIC"
Total net recurrent income,5374146,9934,2019,44225,"Williamstown Primary School, Williamstown, VIC"
State / territory government recurring funding,10409494,10510,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
"Fees, charges and parent contributions",1225942,1238,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Other private sources,279615,282,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Total gross income,14575321,14717,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Less deductions,0,0,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to current capital projects,0,0,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to debt servicing,0,0,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Subtotal,0,0,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Total net recurrent income,14575321,14717,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Subtotal,0,0,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to debt servicing,0,0,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Australian government recurrent funding,2660271,2686,2019,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44273,"Williamstown North Primary School, Williamstown, VIC"
Less deductions,0,0,2019,44273,"Williamstown North Primary School, Williamstown, VIC"
"Fees, charges and parent contributions",575536,655,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Other private sources,142687,162,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Total gross income,9773795,11119,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Less deductions,0,0,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Subtotal,0,0,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Total net recurrent income,9773795,11119,2019,44515,"Yarraville West Primary School, Yarraville, VIC"
Australian government recurrent funding,448276,3464,2019,44948,"Carlton Primary School, Carlton, VIC"
State / territory government recurring funding,1757589,13583,2019,44948,"Carlton Primary School, Carlton, VIC"
"Fees, charges and parent contributions",77393,598,2019,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2019,44273,"Williamstown North Primary School, Williamstown, VIC"
Other private sources,251243,1942,2019,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2019,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44948,"Carlton Primary School, Carlton, VIC"
